NCBITaxon_108151 | unidentified eubacterium clone BSV03
NCBITaxon_1378607 | bacterium enrichment culture clone 4-1
NCBITaxon_1378608 | bacterium enrichment culture clone 4-10
NCBITaxon_1378609 | bacterium enrichment culture clone 4-12
NCBITaxon_1378610 | bacterium enrichment culture clone 4-13
NCBITaxon_1378611 | bacterium enrichment culture clone 4-14
NCBITaxon_1378612 | bacterium enrichment culture clone 4-15
NCBITaxon_1378613 | bacterium enrichment culture clone 4-16
NCBITaxon_1378614 | bacterium enrichment culture clone 4-17
NCBITaxon_1378615 | bacterium enrichment culture clone 4-18
NCBITaxon_1378616 | bacterium enrichment culture clone 4-19
NCBITaxon_1378617 | bacterium enrichment culture clone 4-23
NCBITaxon_1378618 | bacterium enrichment culture clone 4-24
NCBITaxon_1378619 | bacterium enrichment culture clone 4-25
NCBITaxon_1378620 | bacterium enrichment culture clone 4-29
NCBITaxon_1378621 | bacterium enrichment culture clone 4-3
NCBITaxon_1378622 | bacterium enrichment culture clone 4-30
NCBITaxon_1378623 | bacterium enrichment culture clone 4-33
NCBITaxon_1378624 | bacterium enrichment culture clone 4-34
NCBITaxon_1378625 | bacterium enrichment culture clone 4-35
NCBITaxon_1378626 | bacterium enrichment culture clone 4-37
NCBITaxon_1378627 | bacterium enrichment culture clone 4-38
NCBITaxon_1378628 | bacterium enrichment culture clone 4-4
NCBITaxon_1378629 | bacterium enrichment culture clone 4-40
NCBITaxon_1378630 | bacterium enrichment culture clone 4-42
NCBITaxon_1378631 | bacterium enrichment culture clone 4-43
NCBITaxon_1378632 | bacterium enrichment culture clone 4-44
NCBITaxon_1378633 | bacterium enrichment culture clone 4-46
NCBITaxon_1378634 | bacterium enrichment culture clone 4-5
NCBITaxon_1378635 | bacterium enrichment culture clone 4-51
NCBITaxon_1378636 | bacterium enrichment culture clone 4-52
NCBITaxon_1378637 | bacterium enrichment culture clone 4-53
NCBITaxon_1378638 | bacterium enrichment culture clone 4-54
NCBITaxon_1378639 | bacterium enrichment culture clone 4-55
NCBITaxon_1378640 | bacterium enrichment culture clone 4-56
NCBITaxon_1378641 | bacterium enrichment culture clone 4-57
NCBITaxon_1378642 | bacterium enrichment culture clone 4-58
NCBITaxon_1378643 | bacterium enrichment culture clone 4-7
NCBITaxon_1378644 | bacterium enrichment culture clone 4-8
NCBITaxon_1378645 | bacterium enrichment culture clone 4-9
NCBITaxon_1378646 | bacterium enrichment culture clone 46
NCBITaxon_1378647 | bacterium enrichment culture clone 47
NCBITaxon_1378648 | bacterium enrichment culture clone 49
NCBITaxon_1378649 | bacterium enrichment culture clone 5-1
NCBITaxon_1378650 | bacterium enrichment culture clone 5-12
NCBITaxon_1378651 | bacterium enrichment culture clone 5-14
NCBITaxon_1378652 | bacterium enrichment culture clone 5-18
NCBITaxon_1378653 | bacterium enrichment culture clone 5-20
NCBITaxon_1378654 | bacterium enrichment culture clone 5-23
NCBITaxon_1378655 | bacterium enrichment culture clone 5-3
NCBITaxon_1378656 | bacterium enrichment culture clone 5-36
NCBITaxon_1378657 | bacterium enrichment culture clone 5-38
NCBITaxon_1378658 | bacterium enrichment culture clone 5-4
NCBITaxon_1378659 | bacterium enrichment culture clone 5-40
NCBITaxon_1378660 | bacterium enrichment culture clone 5-44
NCBITaxon_1378661 | bacterium enrichment culture clone 5-45
NCBITaxon_1378662 | bacterium enrichment culture clone 5-46
NCBITaxon_1378663 | bacterium enrichment culture clone 5-47
NCBITaxon_1378664 | bacterium enrichment culture clone 5-5
NCBITaxon_1378665 | bacterium enrichment culture clone 5-52
NCBITaxon_1378666 | bacterium enrichment culture clone 5-53
NCBITaxon_1378667 | bacterium enrichment culture clone 5-55
NCBITaxon_1378668 | bacterium enrichment culture clone 5-58
NCBITaxon_1378669 | bacterium enrichment culture clone 5-59
NCBITaxon_1378670 | bacterium enrichment culture clone 51
NCBITaxon_1378671 | bacterium enrichment culture clone 56
NCBITaxon_1378672 | bacterium enrichment culture clone 57
NCBITaxon_1378673 | bacterium enrichment culture clone 58
NCBITaxon_1378674 | bacterium enrichment culture clone 6-10
NCBITaxon_1378675 | bacterium enrichment culture clone 6-13
NCBITaxon_1378676 | bacterium enrichment culture clone 6-26
NCBITaxon_1378677 | bacterium enrichment culture clone 6-37
NCBITaxon_1378678 | bacterium enrichment culture clone 6-4
NCBITaxon_1378679 | bacterium enrichment culture clone 6-47
NCBITaxon_1378680 | bacterium enrichment culture clone 6-55
NCBITaxon_1378681 | bacterium enrichment culture clone 6-6
NCBITaxon_1378682 | bacterium enrichment culture clone 6-8
NCBITaxon_1378683 | bacterium enrichment culture clone 6-9
NCBITaxon_1378684 | bacterium enrichment culture clone 61
NCBITaxon_1378685 | bacterium enrichment culture clone 66
NCBITaxon_1378686 | bacterium enrichment culture clone 67
NCBITaxon_1378687 | bacterium enrichment culture clone 68
NCBITaxon_1378688 | bacterium enrichment culture clone 71
NCBITaxon_1378689 | bacterium enrichment culture clone 76
NCBITaxon_1378690 | bacterium enrichment culture clone 7(2013)
NCBITaxon_1378691 | bacterium enrichment culture clone 11(2013)
NCBITaxon_1378692 | bacterium enrichment culture clone 12(2013)
NCBITaxon_1378693 | bacterium enrichment culture clone 16(2013)
NCBITaxon_1378694 | bacterium enrichment culture clone 22(2013)
NCBITaxon_1378695 | bacterium enrichment culture clone 24(2013)
NCBITaxon_1378696 | bacterium enrichment culture clone 25(2013)
NCBITaxon_1378697 | bacterium enrichment culture clone 30(2013)
NCBITaxon_1378698 | bacterium enrichment culture clone 32(2013)
NCBITaxon_1378699 | bacterium enrichment culture clone 33(2013)
NCBITaxon_1378700 | bacterium enrichment culture clone 36(2013)
NCBITaxon_1378701 | bacterium enrichment culture clone 39(2013)
NCBITaxon_1378702 | bacterium enrichment culture clone 41(2013)
NCBITaxon_1378703 | bacterium enrichment culture clone 69(2013)
NCBITaxon_1378704 | bacterium enrichment culture clone 73(2013)
NCBITaxon_1378705 | bacterium enrichment culture clone 79(2013)
NCBITaxon_1378868 | bacterium enrichment culture clone BD1
NCBITaxon_1378869 | bacterium enrichment culture clone BD10
NCBITaxon_1378870 | bacterium enrichment culture clone BD11
NCBITaxon_1378871 | bacterium enrichment culture clone BD12
NCBITaxon_1378872 | bacterium enrichment culture clone BD13
NCBITaxon_1378873 | bacterium enrichment culture clone BD14
NCBITaxon_1378874 | bacterium enrichment culture clone BD15
NCBITaxon_1378875 | bacterium enrichment culture clone BD16
NCBITaxon_1378876 | bacterium enrichment culture clone BD17
NCBITaxon_1378877 | bacterium enrichment culture clone BD18
NCBITaxon_1378878 | bacterium enrichment culture clone BD19
NCBITaxon_1378879 | bacterium enrichment culture clone BD2
NCBITaxon_1378880 | bacterium enrichment culture clone BD20
NCBITaxon_1378881 | bacterium enrichment culture clone BD21
NCBITaxon_1378882 | bacterium enrichment culture clone BD22
NCBITaxon_1378883 | bacterium enrichment culture clone BD23
NCBITaxon_1378884 | bacterium enrichment culture clone BD24
NCBITaxon_1378885 | bacterium enrichment culture clone BD25
NCBITaxon_1378886 | bacterium enrichment culture clone BD26
NCBITaxon_1378887 | bacterium enrichment culture clone BD27
NCBITaxon_1378888 | bacterium enrichment culture clone BD28
NCBITaxon_1378889 | bacterium enrichment culture clone BD29
NCBITaxon_1378890 | bacterium enrichment culture clone BD3
NCBITaxon_1378891 | bacterium enrichment culture clone BD31
NCBITaxon_1378892 | bacterium enrichment culture clone BD32
NCBITaxon_1378893 | bacterium enrichment culture clone BD33
NCBITaxon_1378894 | bacterium enrichment culture clone BD34
NCBITaxon_1378895 | bacterium enrichment culture clone BD35
NCBITaxon_1378896 | bacterium enrichment culture clone BD36
NCBITaxon_1378897 | bacterium enrichment culture clone BD37
NCBITaxon_1378898 | bacterium enrichment culture clone BD38
NCBITaxon_1378899 | bacterium enrichment culture clone BD39
NCBITaxon_1378900 | bacterium enrichment culture clone BD4
NCBITaxon_1378901 | bacterium enrichment culture clone BD40
NCBITaxon_1378902 | bacterium enrichment culture clone BD41
NCBITaxon_1378903 | bacterium enrichment culture clone BD42
NCBITaxon_1378904 | bacterium enrichment culture clone BD43
NCBITaxon_1378905 | bacterium enrichment culture clone BD44
NCBITaxon_1378906 | bacterium enrichment culture clone BD45
NCBITaxon_1378907 | bacterium enrichment culture clone BD46
NCBITaxon_1378908 | bacterium enrichment culture clone BD47
NCBITaxon_1378909 | bacterium enrichment culture clone BD48
NCBITaxon_1378910 | bacterium enrichment culture clone BD5
NCBITaxon_1378911 | bacterium enrichment culture clone BD6
NCBITaxon_1378912 | bacterium enrichment culture clone BD7
NCBITaxon_1378913 | bacterium enrichment culture clone BD8
NCBITaxon_1378914 | bacterium enrichment culture clone BH49
NCBITaxon_1378915 | bacterium enrichment culture clone BH50
NCBITaxon_1378916 | bacterium enrichment culture clone BH51
NCBITaxon_1378917 | bacterium enrichment culture clone BH52
NCBITaxon_1378918 | bacterium enrichment culture clone BH53
NCBITaxon_1378919 | bacterium enrichment culture clone BH54
NCBITaxon_1378920 | bacterium enrichment culture clone BH55
NCBITaxon_1378921 | bacterium enrichment culture clone BH56
NCBITaxon_1378922 | bacterium enrichment culture clone BH57
NCBITaxon_1378923 | bacterium enrichment culture clone BH58
NCBITaxon_1378924 | bacterium enrichment culture clone BH60
NCBITaxon_1378925 | bacterium enrichment culture clone BH61
NCBITaxon_1378926 | bacterium enrichment culture clone BH62
NCBITaxon_1378927 | bacterium enrichment culture clone BH63
NCBITaxon_1378928 | bacterium enrichment culture clone BH64
NCBITaxon_1378929 | bacterium enrichment culture clone BH65
NCBITaxon_1378930 | bacterium enrichment culture clone BH66
NCBITaxon_1378931 | bacterium enrichment culture clone BH67
NCBITaxon_1378932 | bacterium enrichment culture clone BH68
NCBITaxon_1378933 | bacterium enrichment culture clone BH69
NCBITaxon_1378934 | bacterium enrichment culture clone BH70
NCBITaxon_1378935 | bacterium enrichment culture clone BH71
NCBITaxon_1378936 | bacterium enrichment culture clone BH72
NCBITaxon_1378937 | bacterium enrichment culture clone BH74
NCBITaxon_1378938 | bacterium enrichment culture clone BH75
NCBITaxon_1378939 | bacterium enrichment culture clone BH76
NCBITaxon_1378940 | bacterium enrichment culture clone BH77
NCBITaxon_1378941 | bacterium enrichment culture clone BH78
NCBITaxon_1378942 | bacterium enrichment culture clone BH79
NCBITaxon_1378943 | bacterium enrichment culture clone BH80
NCBITaxon_1378944 | bacterium enrichment culture clone BH81
NCBITaxon_1378945 | bacterium enrichment culture clone BH82
NCBITaxon_1378946 | bacterium enrichment culture clone BH83
NCBITaxon_1378947 | bacterium enrichment culture clone BH84
NCBITaxon_1378948 | bacterium enrichment culture clone BH85
NCBITaxon_1378949 | bacterium enrichment culture clone BH86
NCBITaxon_1378950 | bacterium enrichment culture clone BH87
NCBITaxon_1378951 | bacterium enrichment culture clone BH88
NCBITaxon_1378952 | bacterium enrichment culture clone BH89
NCBITaxon_1378953 | bacterium enrichment culture clone BH90
NCBITaxon_1378954 | bacterium enrichment culture clone BH91
NCBITaxon_1378955 | bacterium enrichment culture clone BH92
NCBITaxon_1378956 | bacterium enrichment culture clone BH93
NCBITaxon_1378957 | bacterium enrichment culture clone BH94
NCBITaxon_1378958 | bacterium enrichment culture clone BH95
NCBITaxon_1378959 | bacterium enrichment culture clone BH96
NCBITaxon_1378960 | bacterium enrichment culture clone H73
NCBITaxon_137946 | uncultured bacterium SY6-1
NCBITaxon_137947 | uncultured bacterium SY6-5
NCBITaxon_137948 | uncultured bacterium SY6-8
NCBITaxon_137949 | uncultured bacterium SY6-14
NCBITaxon_137950 | uncultured bacterium SY6-18
NCBITaxon_137951 | uncultured bacterium SY6-21
NCBITaxon_137952 | uncultured bacterium SY6-23
NCBITaxon_137953 | uncultured bacterium SY6-28
NCBITaxon_137954 | uncultured bacterium SY6-29
NCBITaxon_137955 | uncultured bacterium SY6-31
NCBITaxon_137956 | uncultured bacterium SY6-44
NCBITaxon_137957 | uncultured bacterium SY6-47
NCBITaxon_137958 | uncultured bacterium SY6-50
NCBITaxon_137959 | uncultured bacterium SY6-52
NCBITaxon_137960 | uncultured bacterium SY6-54
NCBITaxon_137961 | uncultured bacterium SY6-55
NCBITaxon_137962 | uncultured bacterium SY6-56
NCBITaxon_137963 | uncultured bacterium SY6-60
NCBITaxon_137964 | uncultured bacterium SY6-62
NCBITaxon_137965 | uncultured bacterium SY6-64
NCBITaxon_137966 | uncultured bacterium SY6-66
NCBITaxon_137967 | uncultured bacterium SY6-67
NCBITaxon_137968 | uncultured bacterium SY6-75
NCBITaxon_137969 | uncultured bacterium SY6-76
NCBITaxon_137970 | uncultured bacterium SY6-81
NCBITaxon_137971 | uncultured bacterium SY6-88
NCBITaxon_137972 | uncultured bacterium SY6-91
NCBITaxon_137973 | uncultured bacterium SY6-92
NCBITaxon_137974 | uncultured bacterium SY6-93
NCBITaxon_137975 | uncultured bacterium SY6-100
NCBITaxon_137976 | uncultured bacterium SY6-101
NCBITaxon_137977 | uncultured bacterium SY6-102
NCBITaxon_137978 | uncultured bacterium SY6-103
NCBITaxon_137979 | uncultured bacterium SY6-105
NCBITaxon_137980 | uncultured bacterium SY6-106
NCBITaxon_137981 | uncultured bacterium SY6-107
NCBITaxon_137982 | uncultured bacterium SY6-108
NCBITaxon_137983 | uncultured bacterium SY6-109
NCBITaxon_137984 | uncultured bacterium SE-21
NCBITaxon_137985 | uncultured bacterium SE-23
NCBITaxon_137986 | uncultured bacterium SE-42
NCBITaxon_137987 | uncultured bacterium SE-43
NCBITaxon_137988 | uncultured bacterium SE-77
NCBITaxon_137989 | uncultured bacterium SE-95
NCBITaxon_1380740 | bacterium enrichment culture isolate DGGE gel band Amx3
NCBITaxon_1380741 | bacterium enrichment culture isolate DGGE gel band Amx4
NCBITaxon_1380742 | bacterium enrichment culture isolate DGGE gel band Amx5
NCBITaxon_1380743 | bacterium enrichment culture isolate DGGE gel band Amx6
NCBITaxon_1380744 | bacterium enrichment culture isolate DGGE gel band 5
NCBITaxon_1380745 | bacterium enrichment culture isolate DGGE gel band 9
NCBITaxon_1380746 | bacterium enrichment culture isolate DGGE gel band Amx1
NCBITaxon_1380747 | bacterium enrichment culture isolate DGGE gel band Amx2
NCBITaxon_1380788 | bacterium enrichment culture DGGE gel band 13
NCBITaxon_1380789 | bacterium enrichment culture DGGE gel band 14
NCBITaxon_1380790 | bacterium enrichment culture DGGE gel band 15
NCBITaxon_1380834 | bacterium enrichment culture clone 1,2-CTD
NCBITaxon_1381396 | uncultured marine bacterium PPT_M1
NCBITaxon_1381397 | uncultured marine bacterium PPT_M2
NCBITaxon_1382419 | bacterium enrichment culture clone HAD4
NCBITaxon_1385645 | ammonia-oxidizing bacterium enrichment culture isolate DGGE gel band AOB1
NCBITaxon_1385646 | ammonia-oxidizing bacterium enrichment culture isolate DGGE gel band AOB3
NCBITaxon_1385647 | ammonia-oxidizing bacterium enrichment culture isolate DGGE gel band AOB4
NCBITaxon_1385648 | ammonia-oxidizing bacterium enrichment culture isolate DGGE gel band AOB5
NCBITaxon_1386123 | bacterium enrichment culture clone 1c09
NCBITaxon_1386124 | bacterium enrichment culture clone 1c11
NCBITaxon_1386125 | bacterium enrichment culture clone 1d01
NCBITaxon_1386126 | bacterium enrichment culture clone 1d03
NCBITaxon_1386127 | bacterium enrichment culture clone 1d04
NCBITaxon_1386128 | bacterium enrichment culture clone 1d05
NCBITaxon_1386129 | bacterium enrichment culture clone 1d06
NCBITaxon_1386130 | bacterium enrichment culture clone 1d07
NCBITaxon_1386131 | bacterium enrichment culture clone 1d08
NCBITaxon_1386132 | bacterium enrichment culture clone 1d09
NCBITaxon_1386133 | bacterium enrichment culture clone 1d10
NCBITaxon_1386134 | bacterium enrichment culture clone 1d11
NCBITaxon_1386135 | bacterium enrichment culture clone 1d12
NCBITaxon_1386136 | bacterium enrichment culture clone 1e02
NCBITaxon_1386137 | bacterium enrichment culture clone 1e03
NCBITaxon_1386138 | bacterium enrichment culture clone 1e04
NCBITaxon_1386139 | bacterium enrichment culture clone 1e05
NCBITaxon_1386140 | bacterium enrichment culture clone 1e06
NCBITaxon_1386141 | bacterium enrichment culture clone 1e07
NCBITaxon_1386142 | bacterium enrichment culture clone 1e08
NCBITaxon_1386143 | bacterium enrichment culture clone 1e09
NCBITaxon_1386144 | bacterium enrichment culture clone 1e10
NCBITaxon_1386145 | bacterium enrichment culture clone 1e11
NCBITaxon_1386146 | bacterium enrichment culture clone 1e12
NCBITaxon_1386147 | bacterium enrichment culture clone 1f01
NCBITaxon_1386148 | bacterium enrichment culture clone 1f02
NCBITaxon_1386149 | bacterium enrichment culture clone 1f04
NCBITaxon_1386150 | bacterium enrichment culture clone 1f05
NCBITaxon_1386151 | bacterium enrichment culture clone 1f06
NCBITaxon_1386152 | bacterium enrichment culture clone 1g01
NCBITaxon_1386153 | bacterium enrichment culture clone 1g08
NCBITaxon_1386154 | bacterium enrichment culture clone 2a12
NCBITaxon_1386155 | bacterium enrichment culture clone 2b12
NCBITaxon_1386156 | bacterium enrichment culture clone 2c08
NCBITaxon_1386157 | bacterium enrichment culture clone 2d09
NCBITaxon_1386158 | bacterium enrichment culture clone 2d11
NCBITaxon_1386159 | bacterium enrichment culture clone 2e02
NCBITaxon_1386160 | bacterium enrichment culture clone 2f03
NCBITaxon_1386161 | bacterium enrichment culture clone 2f04
NCBITaxon_1386162 | bacterium enrichment culture clone 2f09
NCBITaxon_1386163 | bacterium enrichment culture clone 2f11
NCBITaxon_1386164 | bacterium enrichment culture clone 2g03
NCBITaxon_1386165 | bacterium enrichment culture clone 2g11
NCBITaxon_138711 | unidentified bacterium CPA49
NCBITaxon_138712 | unidentified bacterium CPA52
NCBITaxon_138713 | unidentified bacterium CPA54
NCBITaxon_138714 | unidentified bacterium CPA56
NCBITaxon_138715 | unidentified bacterium CPA58
NCBITaxon_138716 | unidentified bacterium CPA59
NCBITaxon_138717 | unidentified bacterium CPA61
NCBITaxon_138718 | unidentified bacterium CPA62
NCBITaxon_138719 | unidentified bacterium CPA63
NCBITaxon_138720 | unidentified bacterium CPB139
NCBITaxon_138721 | unidentified bacterium CPB141
NCBITaxon_138722 | unidentified bacterium CPB144
NCBITaxon_138723 | unidentified bacterium CPB147
NCBITaxon_138724 | unidentified bacterium CPB149
NCBITaxon_138725 | unidentified bacterium CPB69
NCBITaxon_138726 | unidentified bacterium CPB70
NCBITaxon_138727 | unidentified bacterium CPB71
NCBITaxon_138728 | unidentified bacterium CPB72
NCBITaxon_138729 | unidentified bacterium CPB73
NCBITaxon_138730 | unidentified bacterium CPB75
NCBITaxon_138731 | unidentified bacterium CPB7677
NCBITaxon_138732 | unidentified bacterium CPB7776
NCBITaxon_138733 | unidentified bacterium CPB80
NCBITaxon_138734 | unidentified bacterium CPB86
NCBITaxon_138735 | unidentified bacterium EF
NCBITaxon_138736 | unidentified bacterium Rr327
NCBITaxon_138737 | unidentified bacterium Rr368
NCBITaxon_138738 | unidentified bacterium SM-A01
NCBITaxon_138739 | unidentified bacterium SM-A02
NCBITaxon_138740 | unidentified bacterium SM-A03
NCBITaxon_138741 | unidentified bacterium SM-A04
NCBITaxon_138742 | unidentified bacterium SM-A05
NCBITaxon_138743 | unidentified bacterium SM-A06
NCBITaxon_138744 | unidentified bacterium SM-A07
NCBITaxon_138745 | unidentified bacterium SM-A11
NCBITaxon_138746 | unidentified bacterium SM-A12
NCBITaxon_138747 | unidentified bacterium SM-A13
NCBITaxon_138748 | unidentified bacterium SM-A14
NCBITaxon_138749 | unidentified bacterium SM-A15
NCBITaxon_138750 | unidentified bacterium SM-A17
NCBITaxon_138751 | unidentified bacterium SM-A19
NCBITaxon_138752 | unidentified bacterium SM-A21
NCBITaxon_138753 | unidentified bacterium SM-A26
NCBITaxon_138754 | unidentified bacterium SM-A31
NCBITaxon_138755 | unidentified bacterium SM-A32
NCBITaxon_138756 | unidentified bacterium SM-A33
NCBITaxon_138757 | unidentified bacterium SM-A35
NCBITaxon_138758 | unidentified bacterium SM-A37
NCBITaxon_138759 | unidentified bacterium SM-A39
NCBITaxon_138760 | unidentified bacterium SM-A42
NCBITaxon_138761 | unidentified bacterium SM-A43
NCBITaxon_138762 | unidentified bacterium SM-A46
NCBITaxon_138763 | unidentified bacterium SM-A48
NCBITaxon_138764 | unidentified bacterium SM-A53
NCBITaxon_138765 | unidentified bacterium SM-A54
NCBITaxon_138766 | unidentified bacterium SM-A55
NCBITaxon_138767 | unidentified bacterium SM-A56
NCBITaxon_138768 | unidentified bacterium SM-A59
NCBITaxon_138769 | unidentified bacterium SM-A61
NCBITaxon_138770 | unidentified bacterium SM-A62
NCBITaxon_138771 | unidentified bacterium SM-A65
NCBITaxon_138772 | unidentified bacterium SM-A74
NCBITaxon_138773 | unidentified bacterium SM-A75
NCBITaxon_138774 | unidentified bacterium SM-A76
NCBITaxon_138775 | unidentified bacterium SM-A77
NCBITaxon_138776 | unidentified bacterium SM-A79
NCBITaxon_138777 | unidentified bacterium SM-A82
NCBITaxon_138778 | unidentified bacterium SM-A84
NCBITaxon_138779 | unidentified bacterium SM-A88
NCBITaxon_138780 | unidentified bacterium SM-A90
NCBITaxon_138781 | unidentified bacterium SM-A96
NCBITaxon_138782 | unidentified bacterium SMB-A3
NCBITaxon_138783 | unidentified bacterium SMB-A5
NCBITaxon_138784 | unidentified bacterium SMB-B1
NCBITaxon_138785 | unidentified bacterium SMB-B2
NCBITaxon_138786 | unidentified bacterium SMB-B3
NCBITaxon_138787 | unidentified bacterium SMB-B4
NCBITaxon_138788 | unidentified bacterium USDW
NCBITaxon_138789 | unidentified bacterium purpleX
NCBITaxon_138790 | unidentified bacterium vB11
NCBITaxon_138791 | unidentified bacterium vHge2
NCBITaxon_138799 | unidentified bacterium CPB74
NCBITaxon_1389648 | bacterium enrichment culture isolate DGGE gel band B22
NCBITaxon_1389649 | bacterium enrichment culture isolate DGGE gel band B23
NCBITaxon_1389697 | bacterium enrichment culture clone PDE1
NCBITaxon_1389698 | bacterium enrichment culture clone PDE3
NCBITaxon_138988 | uncultured bacterium HB1-6
NCBITaxon_138989 | uncultured bacterium HB1-7
NCBITaxon_138990 | uncultured bacterium HB1-8
NCBITaxon_138991 | uncultured bacterium HB1-14
NCBITaxon_138992 | uncultured bacterium HB1-23
NCBITaxon_138993 | uncultured bacterium HB1-37
NCBITaxon_138994 | uncultured bacterium HB1-38
NCBITaxon_138995 | uncultured bacterium HB1-20
NCBITaxon_138996 | uncultured bacterium HB1-2
NCBITaxon_138997 | uncultured bacterium Bal2-6
NCBITaxon_138998 | uncultured bacterium Bal2-15
NCBITaxon_138999 | uncultured bacterium Bal2-29
NCBITaxon_139000 | uncultured bacterium Bal2-28
NCBITaxon_139001 | uncultured bacterium Pu11
NCBITaxon_139002 | uncultured bacterium Pu17
NCBITaxon_139003 | uncultured bacterium Pu8
NCBITaxon_1393213 | uncultured bacterium WT4
NCBITaxon_1393214 | uncultured bacterium WT8
NCBITaxon_1393367 | uncultured bacterium Contig1008
NCBITaxon_1393368 | uncultured bacterium Contig1010
NCBITaxon_1393369 | uncultured bacterium Contig1022
NCBITaxon_1393370 | uncultured bacterium Contig1057
NCBITaxon_1393371 | uncultured bacterium Contig1060
NCBITaxon_1393372 | uncultured bacterium Contig1072
NCBITaxon_1393373 | uncultured bacterium Contig1076
NCBITaxon_1393374 | uncultured bacterium Contig1078
NCBITaxon_1393375 | uncultured bacterium Contig1092
NCBITaxon_1393376 | uncultured bacterium Contig11
NCBITaxon_1393377 | uncultured bacterium Contig1107
NCBITaxon_1393378 | uncultured bacterium Contig1112
NCBITaxon_1393379 | uncultured bacterium Contig1134
NCBITaxon_1393380 | uncultured bacterium Contig1135
NCBITaxon_1393381 | uncultured bacterium Contig1137
NCBITaxon_1393382 | uncultured bacterium Contig1141
NCBITaxon_1393383 | uncultured bacterium Contig115
NCBITaxon_1393384 | uncultured bacterium Contig1150
NCBITaxon_1393385 | uncultured bacterium Contig1152
NCBITaxon_1393386 | uncultured bacterium Contig1155
NCBITaxon_1393387 | uncultured bacterium Contig116
NCBITaxon_1393388 | uncultured bacterium Contig1163
NCBITaxon_1393389 | uncultured bacterium Contig1167
NCBITaxon_1393390 | uncultured bacterium Contig1169
NCBITaxon_1393391 | uncultured bacterium Contig117
NCBITaxon_1393392 | uncultured bacterium Contig1171
NCBITaxon_1393393 | uncultured bacterium Contig1178
NCBITaxon_1393394 | uncultured bacterium Contig1179
NCBITaxon_1393395 | uncultured bacterium Contig1187
NCBITaxon_1393396 | uncultured bacterium Contig1192
NCBITaxon_1393397 | uncultured bacterium Contig12
NCBITaxon_1393398 | uncultured bacterium Contig1209
NCBITaxon_1393399 | uncultured bacterium Contig1214
NCBITaxon_1393400 | uncultured bacterium Contig1230
NCBITaxon_1393401 | uncultured bacterium Contig1237
NCBITaxon_1393402 | uncultured bacterium Contig1247
NCBITaxon_1393403 | uncultured bacterium Contig125
NCBITaxon_1393404 | uncultured bacterium Contig1269
NCBITaxon_1393405 | uncultured bacterium Contig127
NCBITaxon_1393406 | uncultured bacterium Contig1285
NCBITaxon_1393407 | uncultured bacterium Contig1295
NCBITaxon_1393408 | uncultured bacterium Contig1297
NCBITaxon_1393409 | uncultured bacterium Contig1298
NCBITaxon_1393410 | uncultured bacterium Contig13
NCBITaxon_1393411 | uncultured bacterium Contig1310
NCBITaxon_1393412 | uncultured bacterium Contig1325
NCBITaxon_1393413 | uncultured bacterium Contig1331
NCBITaxon_1393414 | uncultured bacterium Contig1335
NCBITaxon_1393415 | uncultured bacterium Contig1338
NCBITaxon_1393416 | uncultured bacterium Contig1346
NCBITaxon_1393417 | uncultured bacterium Contig1354
NCBITaxon_1393418 | uncultured bacterium Contig136
NCBITaxon_1393419 | uncultured bacterium Contig1360
NCBITaxon_1393420 | uncultured bacterium Contig1368
NCBITaxon_1393421 | uncultured bacterium Contig137
NCBITaxon_1393422 | uncultured bacterium Contig1378
NCBITaxon_1393423 | uncultured bacterium Contig14
NCBITaxon_1393424 | uncultured bacterium Contig140
NCBITaxon_1393425 | uncultured bacterium Contig1413
NCBITaxon_1393426 | uncultured bacterium Contig1417
NCBITaxon_1393427 | uncultured bacterium Contig1450
NCBITaxon_1393428 | uncultured bacterium Contig1456
NCBITaxon_1393429 | uncultured bacterium Contig1458
NCBITaxon_1393430 | uncultured bacterium Contig146
NCBITaxon_1393431 | uncultured bacterium Contig1468_n_1482_cl
NCBITaxon_1393432 | uncultured bacterium Contig1474
NCBITaxon_1393433 | uncultured bacterium Contig1474_n_1484_cl
NCBITaxon_1393434 | uncultured bacterium Contig1477
NCBITaxon_1393435 | uncultured bacterium Contig1480
NCBITaxon_1393436 | uncultured bacterium Contig1487
NCBITaxon_1393437 | uncultured bacterium Contig1489
NCBITaxon_1393438 | uncultured bacterium Contig1490
NCBITaxon_1393439 | uncultured bacterium Contig1491
NCBITaxon_1393440 | uncultured bacterium Contig1495
NCBITaxon_1393441 | uncultured bacterium Contig15
NCBITaxon_1393442 | uncultured bacterium Contig1500
NCBITaxon_1393443 | uncultured bacterium Contig1506
NCBITaxon_1393444 | uncultured bacterium Contig1513
NCBITaxon_1393445 | uncultured bacterium Contig1514
NCBITaxon_1393446 | uncultured bacterium Contig1520
NCBITaxon_1393447 | uncultured bacterium Contig1521
NCBITaxon_1393448 | uncultured bacterium Contig1522a
NCBITaxon_1393449 | uncultured bacterium Contig1529
NCBITaxon_1393450 | uncultured bacterium Contig1532b
NCBITaxon_1393451 | uncultured bacterium Contig1536
NCBITaxon_1393452 | uncultured bacterium Contig1541
NCBITaxon_1393453 | uncultured bacterium Contig1549a
NCBITaxon_1393454 | uncultured bacterium Contig1552
NCBITaxon_1393455 | uncultured bacterium Contig1558
NCBITaxon_1393456 | uncultured bacterium Contig1563
